[rosmaster.master][INFO] 2019-03-18 14:55:51,127: +SUB [/cellulo_node_00_06_66_E7_8E_BD/clearTracking] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:51,135: +SUB [/cellulo_node_00_06_66_D2_CF_7B/shutdown] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,137: +SUB [/cellulo_node_00_06_66_E7_8A_D6/shutdown] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:51,138: +SUB [/cellulo_node_00_06_66_E7_8E_BD/shutdown] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:51,145: +SUB [/cellulo_node_00_06_66_D2_CF_7B/clearHapticFeedback] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,148: +SUB [/cellulo_node_00_06_66_E7_8A_D6/clearHapticFeedback] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:51,148: +SUB [/cellulo_node_00_06_66_E7_8E_BD/clearHapticFeedback] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:51,150: publisherUpdate[/sensor_node_00_06_66_E7_8A_D6/detectedRobots] -> http://chiliPC:37089/ ['http://chiliPC:44509/']
[rosmaster.master][INFO] 2019-03-18 14:55:51,151: publisherUpdate[/sensor_node_00_06_66_E7_8E_BD/detectedRobots] -> http://chiliPC:34539/ ['http://chiliPC:36417/']
[rosmaster.master][INFO] 2019-03-18 14:55:51,151: publisherUpdate[/sensor_node_00_06_66_D2_CF_7B/detectedRobots] -> http://chiliPC:43551/ ['http://chiliPC:37453/']
[rosmaster.master][INFO] 2019-03-18 14:55:51,154: publisherUpdate[/sensor_node_00_06_66_E7_8E_BD/detectedRobots] -> http://chiliPC:34539/ ['http://chiliPC:36417/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:55:51,154: publisherUpdate[/sensor_node_00_06_66_D2_CF_7B/detectedRobots] -> http://chiliPC:43551/ ['http://chiliPC:37453/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:55:51,154: publisherUpdate[/sensor_node_00_06_66_E7_8E_BD/detectedObstacles] -> http://chiliPC:34539/ ['http://chiliPC:36417/']
[rosmaster.master][INFO] 2019-03-18 14:55:51,155: publisherUpdate[/sensor_node_00_06_66_E7_8A_D6/detectedRobots] -> http://chiliPC:37089/ ['http://chiliPC:44509/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:55:51,155: publisherUpdate[/sensor_node_00_06_66_D2_CF_7B/detectedObstacles] -> http://chiliPC:43551/ ['http://chiliPC:37453/']
[rosmaster.master][INFO] 2019-03-18 14:55:51,157: publisherUpdate[/sensor_node_00_06_66_E7_8E_BD/detectedObstacles] -> http://chiliPC:34539/ ['http://chiliPC:36417/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:55:51,157: publisherUpdate[/sensor_node_00_06_66_E7_8A_D6/detectedObstacles] -> http://chiliPC:37089/ ['http://chiliPC:44509/']
[rosmaster.master][INFO] 2019-03-18 14:55:51,159: publisherUpdate[/sensor_node_00_06_66_D2_CF_7B/detectedObstacles] -> http://chiliPC:43551/ ['http://chiliPC:37453/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:55:51,161: +SUB [/cellulo_node_00_06_66_D2_CF_7B/vibrateOnMotion] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,161: publisherUpdate[/sensor_node_00_06_66_E7_8A_D6/detectedObstacles] -> http://chiliPC:37089/ ['http://chiliPC:44509/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:55:51,163: +SUB [/cellulo_node_00_06_66_E7_8A_D6/vibrateOnMotion] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:51,164: +SUB [/cellulo_node_00_06_66_E7_8E_BD/vibrateOnMotion] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:51,171: +SUB [/cellulo_node_00_06_66_D2_CF_7B/simpleVibrate] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,173: +SUB [/cellulo_node_00_06_66_E7_8A_D6/simpleVibrate] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:51,174: +SUB [/cellulo_node_00_06_66_E7_8E_BD/simpleVibrate] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:51,182: +SUB [/cellulo_node_00_06_66_D2_CF_7B/setGestureEnabled] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,183: +SUB [/cellulo_node_00_06_66_E7_8A_D6/setGestureEnabled] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:51,185: +SUB [/cellulo_node_00_06_66_E7_8E_BD/setGestureEnabled] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:37903/
[rosmaster.master][INFO] 2019-03-18 14:55:51,194: +SUB [/cellulo_node_00_06_66_D2_CF_7B/setCasualBackdriveAssistEnabled] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
[rosmaster.master][INFO] 2019-03-18 14:55:51,195: +SUB [/cellulo_node_00_06_66_E7_8A_D6/setCasualBackdriveAssistEnabled] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:42773/
[rosmaster.master][INFO] 2019-03-18 14:55:51,197: +PUB [/cellulo_node_00_06_66_D2_CF_7B/touchKey] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:36573/
