[rosmaster.master][INFO] 2019-03-18 14:23:22,169: publisherUpdate[/sensor_node_00_06_66_E7_8E_BD/detectedRobots] -> http://chiliPC:40679/ ['http://chiliPC:43265/']
[rosmaster.master][INFO] 2019-03-18 14:23:22,170: publisherUpdate[/sensor_node_00_06_66_E7_8A_D6/detectedRobots] -> http://chiliPC:41979/ ['http://chiliPC:42481/']
[rosmaster.master][INFO] 2019-03-18 14:23:22,170: publisherUpdate[/sensor_node_00_06_66_D2_CF_7B/detectedRobots] -> http://chiliPC:33115/ ['http://chiliPC:39497/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:23:22,171: publisherUpdate[/sensor_node_00_06_66_D2_CF_7B/detectedObstacles] -> http://chiliPC:33115/ ['http://chiliPC:39497/']
[rosmaster.master][INFO] 2019-03-18 14:23:22,171: publisherUpdate[/sensor_node_00_06_66_E7_8E_BD/detectedRobots] -> http://chiliPC:40679/ ['http://chiliPC:43265/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:23:22,172: publisherUpdate[/sensor_node_00_06_66_E7_8A_D6/detectedRobots] -> http://chiliPC:41979/ ['http://chiliPC:42481/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:23:22,172: publisherUpdate[/sensor_node_00_06_66_D2_CF_7B/detectedObstacles] -> http://chiliPC:33115/ ['http://chiliPC:39497/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:23:22,172: publisherUpdate[/sensor_node_00_06_66_E7_8E_BD/detectedObstacles] -> http://chiliPC:40679/ ['http://chiliPC:43265/']
[rosmaster.master][INFO] 2019-03-18 14:23:22,172: publisherUpdate[/sensor_node_00_06_66_E7_8A_D6/detectedObstacles] -> http://chiliPC:41979/ ['http://chiliPC:42481/']
[rosmaster.master][INFO] 2019-03-18 14:23:22,173: publisherUpdate[/sensor_node_00_06_66_E7_8E_BD/detectedObstacles] -> http://chiliPC:40679/ ['http://chiliPC:43265/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:23:22,173: publisherUpdate[/sensor_node_00_06_66_E7_8A_D6/detectedObstacles] -> http://chiliPC:41979/ ['http://chiliPC:42481/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:23:22,316: +PUB [/rosout] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:39553/
[rosmaster.master][INFO] 2019-03-18 14:23:22,317: +PUB [/rosout] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:38395/
[rosmaster.master][INFO] 2019-03-18 14:23:22,318: +PUB [/rosout] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:40887/
[rosmaster.master][INFO] 2019-03-18 14:23:22,318: +SERVICE [/cellulo_node_00_06_66_D2_CF_7B/get_loggers] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:39553/
[rosmaster.master][INFO] 2019-03-18 14:23:22,319: +SERVICE [/cellulo_node_00_06_66_E7_8E_BD/get_loggers] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:38395/
[rosmaster.master][INFO] 2019-03-18 14:23:22,320: +SERVICE [/cellulo_node_00_06_66_E7_8A_D6/get_loggers] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:40887/
[rosmaster.master][INFO] 2019-03-18 14:23:22,320: +SERVICE [/cellulo_node_00_06_66_D2_CF_7B/set_logger_level] /cellulo_node_00_06_66_D2_CF_7B http://chiliPC:39553/
[rosmaster.master][INFO] 2019-03-18 14:23:22,321: +SERVICE [/cellulo_node_00_06_66_E7_8E_BD/set_logger_level] /cellulo_node_00_06_66_E7_8E_BD http://chiliPC:38395/
[rosmaster.master][INFO] 2019-03-18 14:23:22,322: +SERVICE [/cellulo_node_00_06_66_E7_8A_D6/set_logger_level] /cellulo_node_00_06_66_E7_8A_D6 http://chiliPC:40887/
[rosmaster.master][INFO] 2019-03-18 14:23:22,373: publisherUpdate[/rosout] -> http://chiliPC:38217/ ['http://chiliPC:46111/', 'http://chiliPC:45041/', 'http://chiliPC:39497/', 'http://chiliPC:42481/', 'http://chiliPC:41979/', 'http://chiliPC:40679/', 'http://chiliPC:43265/', 'http://chiliPC:39643/', 'http://chiliPC:33115/', 'http://chiliPC:46167/', 'http://chiliPC:39553/']
[rosmaster.master][INFO] 2019-03-18 14:23:22,374: publisherUpdate[/rosout] -> http://chiliPC:38217/ ['http://chiliPC:46111/', 'http://chiliPC:45041/', 'http://chiliPC:39497/', 'http://chiliPC:42481/', 'http://chiliPC:41979/', 'http://chiliPC:40679/', 'http://chiliPC:43265/', 'http://chiliPC:39643/', 'http://chiliPC:33115/', 'http://chiliPC:46167/', 'http://chiliPC:39553/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-03-18 14:23:22,374: publisherUpdate[/rosout] -> http://chiliPC:38217/ ['http://chiliPC:46111/', 'http://chiliPC:45041/', 'http://chiliPC:39497/', 'http://chiliPC:42481/', 'http://chiliPC:41979/', 'http://chiliPC:40679/', 'http://chiliPC:43265/', 'http://chiliPC:39643/', 'http://chiliPC:33115/', 'http://chiliPC:46167/', 'http://chiliPC:39553/', 'http://chiliPC:38395/']
